,NAME,perwhite,pernonwhite,per.homeowner,per.public,drive_alone,carpool,onePrnt6to17,PovChld6_17,NumStations
76,"Census Tract 3.02, Suffolk County, Massachusetts",0.627103889,0.372896111,0.466617211,0.194145502,0.390887986,0.043528729,0.184615385,0,0
77,"Census Tract 301, Suffolk County, Massachusetts",0.805443998,0.194556002,0.188879804,0.266743649,0.112896029,0.004462294,NA,NA,0
78,"Census Tract 302, Suffolk County, Massachusetts",0.863423212,0.136576788,0.136645963,0.184704185,0.208089097,0.013481829,0,0,0
79,"Census Tract 303.01, Suffolk County, Massachusetts",0.885365854,0.114634146,0.69815418,0.168067227,0.091463415,0.03902439,0.386666667,0.226666667,3
80,"Census Tract 303.02, Suffolk County, Massachusetts",0.628706999,0.371293001,0.090191657,0.238962859,0.069592724,0.003558719,0,0,6
81,"Census Tract 304, Suffolk County, Massachusetts",0.889278557,0.110721443,0.202985075,0.245238891,0.131012024,0.006012024,0,0,1
82,"Census Tract 305, Suffolk County, Massachusetts",0.849917763,0.150082237,0.488510007,0.156893819,0.143092105,0,0,0,0
83,"Census Tract 4.01, Suffolk County, Massachusetts",0.644211667,0.355788333,0.10846746,0.442131557,0.218710493,0.025103847,0,0,0
84,"Census Tract 4.02, Suffolk County, Massachusetts",0.693997072,0.306002928,0.329378925,0.241794765,0.202781845,0.086627623,0,0,0
85,"Census Tract 401, Suffolk County, Massachusetts",0.85536859,0.14463141,0.551100629,0.059868421,0.272435897,0.008814103,0.086065574,0,1
86,"Census Tract 402, Suffolk County, Massachusetts",0.536509581,0.463490419,0.505602241,0.201342282,0.223200414,0.038839979,0.701183432,0.044378698,1
87,"Census Tract 403, Suffolk County, Massachusetts",0.795583596,0.204416404,0.562157221,0.330608241,0.223343849,0.029442692,0.372708758,0.052953157,1
88,"Census Tract 404.01, Suffolk County, Massachusetts",0.769900498,0.230099502,0.371428571,0.258440047,0.216106965,0.014925373,0.605351171,0,2
89,"Census Tract 406, Suffolk County, Massachusetts",0.84167604,0.15832396,0.543870566,0.281407035,0.303712036,0.038807649,0.457627119,0,3
90,"Census Tract 408.01, Suffolk County, Massachusetts",0.529230769,0.470769231,0.333040807,0.286427977,0.197362637,0.028791209,0.290140845,0.033802817,4
91,"Census Tract 5.02, Suffolk County, Massachusetts",0.72760181,0.27239819,0.158024691,0.357069497,0.132126697,0.014841629,0.243243243,0,2
92,"Census Tract 5.03, Suffolk County, Massachusetts",0.743517209,0.256482791,0.164359862,0.542518128,0.175388967,0.022630835,NA,NA,0
93,"Census Tract 5.05, Suffolk County, Massachusetts",0.525728988,0.474271012,0.229807692,0.369362921,0.281732419,0.04373928,0.248275862,0,1
94,"Census Tract 5.06, Suffolk County, Massachusetts",0.696848968,0.303151032,0.155433287,0.494298746,0.18362912,0.018471568,1,0,0
95,"Census Tract 501.01, Suffolk County, Massachusetts",0.269362701,0.730637299,0.232432432,0.446249568,0.201299874,0.041704279,0.526132404,0.017421603,1
96,"Census Tract 502, Suffolk County, Massachusetts",0.277106292,0.722893708,0.307564881,0.480845847,0.151972983,0.022573765,0.330926594,0.081829122,1
97,"Census Tract 503, Suffolk County, Massachusetts",0.326181592,0.673818408,0.071881607,0.444523471,0.138681592,0.024875622,0.435897436,0.048076923,3
98,"Census Tract 504, Suffolk County, Massachusetts",0.436036789,0.563963211,0.19885823,0.680327869,0.085284281,0.045150502,0.758754864,0,1
99,"Census Tract 505, Suffolk County, Massachusetts",0.361319967,0.638680033,0.303238469,0.555244755,0.136173768,0.027568922,0.412451362,0,0
100,"Census Tract 506, Suffolk County, Massachusetts",0.238425926,0.761574074,0.144785276,0.55146636,0.133101852,0.085648148,0.296116505,0,1
101,"Census Tract 507, Suffolk County, Massachusetts",0.231483134,0.768516866,0.174067496,0.688633094,0.109941103,0.030162413,0.725260417,0,1
102,"Census Tract 509.01, Suffolk County, Massachusetts",0.222385862,0.777614138,0.244459834,0.592658589,0.177361666,0.031979802,0.799232737,0,2
103,"Census Tract 510, Suffolk County, Massachusetts",0.457647776,0.542352224,0.338794926,0.398459384,0.177737152,0.049766403,0.610932476,0,2
104,"Census Tract 511.01, Suffolk County, Massachusetts",0.431773237,0.568226763,0.353754202,0.403929085,0.25774555,0.022808174,0.423344948,0.052264808,1
105,"Census Tract 512, Suffolk County, Massachusetts",0.571788413,0.428211587,0.286009649,0.4335,0.196788413,0.021410579,0.326923077,0.288461538,3
106,"Census Tract 6.01, Suffolk County, Massachusetts",0.698317006,0.301682994,0.326500732,0.289869952,0.320522482,0.057774429,0.22,0,1
107,"Census Tract 6.03, Suffolk County, Massachusetts",0.293954135,0.706045865,0.010217114,0.487569061,0.085476025,0.070882557,0.683333333,0,1
108,"Census Tract 6.04, Suffolk County, Massachusetts",0.552364865,0.447635135,0.147918512,0.392379679,0.161739865,0,0.221311475,0.172131148,1
109,"Census Tract 601.01, Suffolk County, Massachusetts",0.956730769,0.043269231,0.464040025,0.300776461,0.369343891,0.02290724,0.481751825,0,0
110,"Census Tract 602, Suffolk County, Massachusetts",0.953962981,0.046037019,0.534653465,0.366151866,0.270052207,0.052681538,0.16,0,0
111,"Census Tract 603.01, Suffolk County, Massachusetts",0.938694465,0.061305535,0.518757327,0.333779264,0.266070985,0.026309258,0.302325581,0,0
112,"Census Tract 604, Suffolk County, Massachusetts",0.953823145,0.046176855,0.420382166,0.288313685,0.365488876,0.009908394,0.368852459,0,0
113,"Census Tract 605.01, Suffolk County, Massachusetts",0.834140715,0.165859285,0.575025176,0.3,0.319031142,0.065513264,0.061904762,0,2
114,"Census Tract 606.01, Suffolk County, Massachusetts",0.673402512,0.326597488,0.448705657,0.368309859,0.235936647,0,0.169491525,0,0
115,"Census Tract 606.02, Suffolk County, Massachusetts",0.789808917,0.210191083,0.114537445,0.164835165,0.213375796,0,NA,NA,2
116,"Census Tract 606.03, Suffolk County, Massachusetts",0.904995103,0.095004897,0,0.189158016,0.236043095,0.061704212,NA,NA,2
117,"Census Tract 606.04, Suffolk County, Massachusetts",0.723880597,0.276119403,0.305990783,0.092356688,0.236940299,0.005597015,0,0,5
118,"Census Tract 607, Suffolk County, Massachusetts",0.102281989,0.897718011,0,0.400286944,0.109616952,0.004482478,0.881642512,0.004830918,1
119,"Census Tract 608, Suffolk County, Massachusetts",0.783120707,0.216879293,0.590634441,0.315757204,0.304955839,0.042443572,0,0,0
120,"Census Tract 610, Suffolk County, Massachusetts",0.544665012,0.455334988,0.372893258,0.431361607,0.199131514,0.032568238,0.7475,0.055,1
121,"Census Tract 611.01, Suffolk County, Massachusetts",0.297520661,0.702479339,0.00949094,0.472103004,0.119617225,0.021748586,0.925925926,0,0
122,"Census Tract 612.01, Suffolk County, Massachusetts",0.814857806,0.185142194,0.401392111,0.450760608,0.142774231,0,0,0,1
123,"Census Tract 612.02, Suffolk County, Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,0
